"id","xtype","target_id","protein_id","nucleic_acid_id","value","xtra","dataset_id","nhprotein_id"
22131,UniProt Keyword,,418,,KW-1268,Autism spectrum disorder,1,
27116,UniProt Keyword,,520,,KW-1268,Autism spectrum disorder,1,
37865,UniProt Keyword,,754,,KW-1268,Autism spectrum disorder,1,
64763,UniProt Keyword,,1373,,KW-1269,Autism,1,
64764,UniProt Keyword,,1373,,KW-1268,Autism spectrum disorder,1,
69379,UniProt Keyword,,1457,,KW-1269,Autism,1,
69380,UniProt Keyword,,1457,,KW-1268,Autism spectrum disorder,1,
73579,UniProt Keyword,,1538,,KW-1269,Autism,1,
73580,UniProt Keyword,,1538,,KW-1268,Autism spectrum disorder,1,
73788,UniProt Keyword,,1543,,KW-1268,Autism spectrum disorder,1,
76161,UniProt Keyword,,1604,,KW-1268,Autism spectrum disorder,1,
89976,UniProt Keyword,,1934,,KW-1269,Autism,1,
89977,UniProt Keyword,,1934,,KW-1268,Autism spectrum disorder,1,
116481,UniProt Keyword,,2587,,KW-1268,Autism spectrum disorder,1,
122747,UniProt Keyword,,2741,,KW-1269,Autism,1,
122748,UniProt Keyword,,2741,,KW-1268,Autism spectrum disorder,1,
128114,UniProt Keyword,,2910,,KW-1269,Autism,1,
128115,UniProt Keyword,,2910,,KW-1268,Autism spectrum disorder,1,
141434,UniProt Keyword,,3310,,KW-1268,Autism spectrum disorder,1,
142692,UniProt Keyword,,3342,,KW-1269,Autism,1,
142693,UniProt Keyword,,3342,,KW-1268,Autism spectrum disorder,1,
167735,UniProt Keyword,,3902,,KW-1269,Autism,1,
167736,UniProt Keyword,,3902,,KW-1268,Autism spectrum disorder,1,
169346,UniProt Keyword,,3951,,KW-1268,Autism spectrum disorder,1,
188584,UniProt Keyword,,4436,,KW-1269,Autism,1,
188585,UniProt Keyword,,4436,,KW-1268,Autism spectrum disorder,1,
189166,UniProt Keyword,,4446,,KW-1269,Autism,1,
