main_uberon_id,mesh_ids,umls_ids
UBERON:0000002,D002584,"C0007874 {source=""ncithesaurus:Cervix""}"
UBERON:0000004,D009666,"C0028429 {source=""ncithesaurus:Nose""}"
UBERON:0000006,D007515,"C0022131 {source=""ncithesaurus:Islet_of_Langerhans""}"
UBERON:0000007,D010902,"C0032005 {source=""ncithesaurus:Pituitary_Gland"", source=""BIRNLEX:1353""}"
UBERON:0000009,,"C0225344 {source=""ncithesaurus:Submucosa""}"
UBERON:0000010,D017933,"C0206417 {source=""ncithesaurus:Peripheral_Nervous_System"", source=""BIRNLEX:1111""},C1305921 {source=""BIRNLEX:1111""}"
UBERON:0000011,D010275,"C0030510 {source=""BIRNLEX:2517"", source=""ncithesaurus:Parasympathetic_Nervous_System""},C1305770 {source=""BIRNLEX:2517""}"
UBERON:0000013,D013564,"C0039044 {source=""BIRNLEX:2516"", source=""ncithesaurus:Sympathetic_Nervous_System""},C1269646 {source=""BIRNLEX:2516""}"
UBERON:0000014,D012867,
UBERON:0000016,"D007515 {mapping:provider=""https://github.com/biopragmatics/biomappings"", mapping:justification=""https://w3id.org/semapv/vocab/LexicalMatching""}",
UBERON:0000017,"D046790 {mapping:justification=""https://w3id.org/semapv/vocab/ManualMappingCuration"", author:id=""https://orcid.org/0000-0001-9439-5346"", mapping:provider=""https://github.com/biopragmatics/biomappings""}","C0553695 {source=""ncithesaurus:Exocrine_Pancreas""}"
UBERON:0000019,,"C0015392 {source=""BIRNLEX:1169"", source=""ncithesaurus:Eye""},C1280202 {source=""BIRNLEX:1169""}"
UBERON:0000020,D012679,"C0935626 {source=""ncithesaurus:Organ_of_the_Special_Sense""}"
UBERON:0000022,D005241,
UBERON:0000023,D014921,
UBERON:0000026,D005121,"C0598782 {source=""ncithesaurus:Appendage""}"
UBERON:0000029,D008198,"C0024204 {source=""ncithesaurus:Lymph_Node""}"
UBERON:0000030,,"C1179187 {source=""ncithesaurus:Lamina_Propria""}"
UBERON:0000031,,"C1710457 {source=""ncithesaurus:Trachea_Lamina_Propria""}"
UBERON:0000033,D006257,"C0018670 {source=""ncithesaurus:Head"", source=""BIRNLEX:1230""}"
UBERON:0000037,,"C0600225 {source=""ncithesaurus:Graafian_Follicle""}"
UBERON:0000038,D015571,"C1709369 {source=""ncithesaurus:Ovarian_Follicle_Fluid""}"
UBERON:0000042,D012704,"C0036760 {source=""ncithesaurus:Serosa""}"
UBERON:0000043,D013710,"C0039508 {source=""ncithesaurus:Tendon""}"
UBERON:0000044,"D005727 {mapping:provider=""https://github.com/biopragmatics/biomappings"", mapping:justification=""https://w3id.org/semapv/vocab/LexicalMatching""}","C0017070 {source=""ncithesaurus:Dorsal_Root_Ganglion"", source=""BIRNLEX:2596""}"
UBERON:0000045,D005724,"C0017067 {source=""ncithesaurus:Ganglion""}"
UBERON:0000051,,"C0227794 {source=""ncithesaurus:Vaginal_Fornix""}"
UBERON:0000052,,"C0152334 {source=""BIRNLEX:705""},C0458370 {source=""ncithesaurus:Cerebral_Fornix""}"
UBERON:0000053,D008266,"C0450295 {source=""ncithesaurus:Macula_Lutea"", source=""BIRNLEX:2540""},C1284755 {source=""BIRNLEX:2540""}"
UBERON:0000054,D008267,
UBERON:0000056,D014513,"C0041951 {source=""ncithesaurus:Ureter""}"
UBERON:0000057,D014521,"C0041967 {source=""ncithesaurus:Urethra""}"
UBERON:0000058,,"C0687028 {source=""ncithesaurus:Duct""}"
UBERON:0000059,D007420,"C0021851 {source=""ncithesaurus:Large_Intestine""}"
UBERON:0000061,D000825,
UBERON:0000062,,"C0178784 {source=""ncithesaurus:Organ""}"
UBERON:0000073,,"C1518256 {source=""ncithesaurus:Nervous_System_Part""}"
UBERON:0000074,D007678,"C0022663 {source=""ncithesaurus:Glomerulus""}"
UBERON:0000075,,"C1519343 {source=""ncithesaurus:Skeletal_System_Part""}"
UBERON:0000076,,"C1515087 {source=""ncithesaurus:Surface_Ectoderm""}"
UBERON:0000079,D005837,"C0017422 {source=""ncithesaurus:Male_Genitalia""},C1963704 {source=""ncithesaurus:Male_Reproductive_System""}"
UBERON:0000080,D001755,"C0025492 {source=""ncithesaurus:Mesonephros""}"
UBERON:0000081,,"C0231049 {source=""ncithesaurus:Metanephros""}"
UBERON:0000082,D007668,
UBERON:0000084,,"C1284058 {source=""ncithesaurus:Metanephric_Diverticulum""}"
UBERON:0000085,D009028,"C0026573 {source=""ncithesaurus:Morula""}"
UBERON:0000086,D015044,"C0043519 {source=""ncithesaurus:Zona_Pellucida""}"
UBERON:0000087,,"C1283994 {source=""ncithesaurus:Inner_Cell_Mass""}"
UBERON:0000088,D014327,"C0041178 {source=""ncithesaurus:Trophoblast""}"
UBERON:0000089,,"C1512561 {source=""ncithesaurus:Hypoblast""}"
UBERON:0000091,,"C1283997 {source=""ncithesaurus:Bilaminar_Embryonic_Disc""}"
UBERON:0000101,,"C0225752 {source=""ncithesaurus:Lung_Lobe""}"
UBERON:0000105,D008018,
UBERON:0000107,D002970,
